Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,C96093
"C1, C17, C2, C21, C3, C4",0805,6,1uF,C28323
"C10, C15",0805,2,47uF,C1745
"C11, C13, C14, C18, C22, C5, C8",0603,7,100nF,C1590
"C12, C6",0805,2,10uF,C15850
C16,0805,1,10nF,C1710
"C19, C20",0805,2,20pF,C1798
C23,0603,1,10pF,C1634
C7,0805,1,6n8,C1755
C9,0603,1,8n2,C1322360
D1,0805,1,green,C2297
"D2, D3",TVS_ESDA25P35-1U1M,2,ESDA25P35-1U1M,C1974707
D4,SOT-323_SC-70,1,ESDA25W,C2935152
"D5, D6",D_SMA,2,SS14,C2480
D7,D_SOD-323,1,1N5819WS,C191023
D8,0805,1,yellow,C2296
FB1,0603,1,120R,C14709
J1,SHOU HAN TYPE-C 16PIN 2MD(073),1,USB-C,C2765186
L1,L_6.3x6.3_H3,1,18uH,C168016
Q2,TO-252-2,1,MDD50N03D,
Q4,SOT-23,1,SS8050,C2150
"Q5, Q6",SOIC127P600X175-8N,2,AO4485,C51499
R1,0805,1,470R,C17710
R10,0805,1,3k3,C26010
"R11, R14, R17, R18, R19, R22, R3, R9",0805,8,10k,C17414
"R12, R13, R20, R21",0805,4,4k7,C17673
R15,0805,1,270R,C17590
R16,0805,1,3k9,C17614
R2,0805,1,1k,C17513
R4,0805,1,22k,C17560
"R5, R7",0805,2,100k,C149504
R6,0805,1,100R,C17408
R8,0805,1,4k99,C17677
"S1, S3",SW_TS-1088-AR02016,2,TS-1088-AR02016,C720477
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder,C370970
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,C8734
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,STUSB4500QTR,C2678061
U3,Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm,1,TPS54331DR,C9865
U4,SOIC127P600X175-8N,1,MAX6675ISA_,C16030
X1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
